precio,vendido,edad_del_modelo,km_por_ano
30941.02,1,18,35085.22134
40557.96,1,20,12622.05362
89627.5,0,12,11440.79806
95276.14,0,3,43167.32682
117384.68,1,4,12770.1129
55405.26,1,11,23594.53374
93415.61,1,16,16077.3066
65265.09,0,10,18666.73466
43917.53,1,19,12607.56956
107860.41,1,15,24000.08742
75668.42,0,2,22635.3671
97411.7,0,17,24292.9873
91062.94,0,9,26608.82756
73156.01,0,11,35402.26132
82622.46,1,13,11479.42222
64115.99,1,16,20041.11102
48974.9,1,12,15990.40224
28007.36,1,7,35489.16568
94217.51,0,3,22680.42862
111136.8,1,18,25623.91148
37384.17,1,4,32830.536
36271.82,1,6,15053.76636
82597.52,0,19,32782.2558
81831.93,0,16,12515.83718
92271.67,0,5,25044.54908
55734.53,1,16,23444.86512
67789.32,1,14,19569.5744
71840.26,0,19,19941.33194
25413.75,1,11,20718.64316
64497.7,0,14,17731.70812
76894.04,0,11,26441.4562
48359.62,1,5,32661.5553
56539.06,0,16,27020.8186
81757.83,0,12,20063.6417799999
80965.58,0,18,22527.54132
82776.88,0,20,43336.30752
61589.78,0,15,25734.95594
66655.85,0,12,24746.82118
85107.04,0,7,27941.36108
113990.61,0,11,12350.07516
29338.23,1,16,34208.13104
57463.74,0,15,23114.95042
41296.05,0,10,19485.88872
96446.05,0,17,38476.10072
53993.85,1,17,18381.88148
64387.6,0,10,23609.0178
116393.77,0,10,21034.0738
75332.79,0,3,14099.42774
53268.18,0,18,41796.16914
102184.72,0,18,18414.06828
107433.92,0,5,27249.34488
93167.18,0,12,25395.3852
88662.57,0,10,28092.63904
25889.56,1,12,24281.72192
70653.63,0,10,31240.50808
76666.68,0,16,24846.60026
106302.54,1,19,25839.56304
43890.33,1,12,39876.22652
62553.77,1,20,20731.51788
46776.67,1,10,34787.49344
34985.57,1,18,25089.6106
80251.29,0,5,28380.7109
54196.09,1,20,14559.69898
16736.17,1,17,36490.17516
45467.13,1,14,17884.59542
42956.65,1,17,16159.38294
85338.55,1,11,8986.55456
12017.79,1,19,24404.03176
105524.5,1,18,18682.82806
49745.4,1,19,33722.11036
95592.87,0,19,27373.26406
86444.77,1,8,18344.86666
33596.02,1,18,16669.54372
75782.68,0,6,38579.09848
84454.22,0,4,17593.30488
81748.68,0,12,21869.32126
18576.43,1,14,14786.61592
64773.76,0,8,18061.62282
31250.34,1,20,34109.9613
46864.83,1,12,30324.79362
18905.64,1,19,25973.13826
90767.87,0,13,10333.57214
92508.98,0,14,19402.20304
90378.63,0,19,27970.3292
42569.3,1,12,16004.8863
62620.45,0,10,27093.2389
60101.5,1,20,6939.47408
48978.94,1,14,21129.02486
69271.08,0,5,46534.0661
82495.58,0,19,25498.38296
11979.47,1,19,20860.26508
77816.76,0,13,15285.51132
41273.9,1,16,25578.84996
103459.05,1,10,17892.64212
73901.01,0,7,20041.11102
75390.33,0,15,20972.91888
75457.92,1,8,22723.8808
75285.5,1,16,22194.40794
95177.42,1,18,13800.0905
95676.08,0,14,36963.32112
45343.51,1,16,27358.78
96467.94,0,20,29727.72848
90684.94,0,20,9229.5649
43390.38,1,6,19711.19632
105329.2,0,7,21318.92698
84517.72,1,7,15480.24146
61696.4,0,20,17068.66004
38245.75,1,18,26895.29008
79957.38,1,13,18890.43292
91674.9,0,15,13692.26472
96028.69,0,11,18135.65246
103326.66,1,3,14278.06448
107562.56,0,6,14590.27644
35738.06,1,13,18309.46118
32582.02,1,13,23293.58716
26871.75,1,16,21534.57854
103336.64,1,15,17738.14548
44303.89,0,14,18013.34262
58770.23,1,19,22673.99126
95838.99,0,7,29307.69074
80921.29,0,15,23403.02228
94786.28,0,13,22638.58578
102461.86,1,20,26539.6259399999
66761.79,0,19,31948.61768
95016.78,1,9,15946.95006
23334.06,1,19,20660.70692
66311.2,0,8,15166.42016
20199.69,1,16,17234.42206
74419.32,0,6,24391.15704
76829.64,0,6,22099.45688
72033.52,0,18,11989.583
101257.79,1,16,36540.0647
41923.42,1,6,26126.02556
16547.2,1,17,17348.6852
94912.13,0,19,19529.3409
39284.89,1,5,19743.38312
58005.41,1,12,18481.66056
22629.92,1,12,24534.3883
66930.86,0,6,15126.18666
40436,0,19,33152.404
51383.65,1,13,28034.7028
79893.16,1,9,20152.15548
72450.5,0,19,14857.4268799999
56535.6,1,19,28313.11862
81437.98,0,17,21008.32436
66587.22,0,13,25384.11982
96076.38,0,13,21035.68314
98132.27,1,20,16404.00262
99431.8,0,10,23800.52926
35021.38,1,13,20242.27852
96253.86,0,14,24262.40984
84931.89,0,19,23151.96524
45154.74,1,9,24412.07846
78835.63,1,14,15024.79824
58980.31,1,20,16938.3034999999
64465.21,1,4,18941.9318
38315.73,1,13,22715.8341
90298.67,0,7,10689.23628
52555.22,0,10,15377.2436999999
24441.23,1,18,25940.95146
107431.11,0,9,22210.50134
64096.95,0,10,10882.35708
53669.06,1,5,19069.06966
60693.34,0,18,31340.28716
83884.53,0,9,39367.67508
68563.86,1,19,17326.15444
82261.92,0,17,26669.98248
116027.14,1,16,31543.064
33361.66,1,14,26195.22718
40174.67,0,5,18191.97936
100872.41,0,11,23214.7295
91729.32,1,14,22352.12326
37220.88,1,11,12448.2449
42932.35,1,20,22097.84754
105354.79,0,6,12316.27902
70237.57,0,12,38917.05988
27085.34,1,20,29854.86634
103986.22,0,14,13006.6858799999
53868.23,1,19,30010.97232
103445.43,0,16,13499.14392
50956.1,0,14,31601.00024
41999.23,1,15,18069.66952
42653.18,1,18,19312.0799999999
98138.6,0,14,14226.5656
77999.11,0,16,40849.87722
30009.3,1,11,20636.56682
97198.21,0,10,22101.06622
46167.55,1,16,19529.3409
33977.16,1,12,22226.59474
101201.24,0,5,19633.948
24148.18,1,15,16589.07672
83091.96,0,11,30221.79586
38810.77,1,12,11217.0998
64021.74,0,19,19360.3602
59679.59,1,17,10840.51424
70260.51,1,20,30957.26424
33855.29,1,20,34832.55496
90108.76,1,17,23831.10672
70021.62,0,3,12470.77566
88631.4,1,6,19606.58922
94664.91,0,12,19434.38984
99968.88,0,11,10534.73964
50061.13,1,10,10454.27264
60974.59,1,14,17347.07586
82931.27,0,18,25213.52978
39039.59,1,19,28853.85686
53963.73,1,8,29595.7626
15305.7,1,16,13484.65986
45718.37,0,7,13833.88664
96180.51,1,12,17477.4324
39007.92,1,11,14039.88216
88150.84,0,19,40202.92254
97110.55,1,10,17932.87562
86931.31,0,12,41989.28994
24341.89,1,18,19711.19632
42751.8,1,7,14603.15116
71739.52,0,15,31454.5503
65241.32,0,12,9720.4136
73067.51,1,19,12546.4146399999
60570.37,1,20,19447.26456
64984.26,0,18,17305.23302
80657.07,1,16,17340.6385
83781.08,0,15,17817.00314
23448.52,1,17,40312.35766
39346.34,1,17,18682.82806
71532.28,0,12,35738.61338
70118.54,0,18,44361.4571
70719.34,1,15,13558.6895
36936.61,1,20,18119.55906
95422.54,1,10,17899.07948
60788.08,0,18,22836.5346
73153.25,1,20,22727.09948
72758.98,0,19,22947.57906
41366.51,1,17,19139.88062
54764.77,0,5,46458.42712
62605.17,1,13,19184.94214
37530.15,1,12,17911.9542
61726.41,0,20,15699.1117
67703.88,0,7,18259.57164
65691.55,0,16,34575.06056
38234.77,1,10,15708.76774
97033.21,0,17,44709.07454
34119.04,1,11,25894.2806
95342.37,0,16,17540.19666
65200.08,0,15,30371.46448
73548.4,0,12,35302.48224
40769.51,1,19,21616.65488
